Epoch 0: TrainLoss=2.306872e+02, EvalMSE=6.834826e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.287793e+02, EvalMSE=1.011815e-03 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 200: TrainLoss=6.718268e+01, EvalMSE=1.118622e-03 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.729752e+01, EvalMSE=9.514389e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 400: TrainLoss=3.968525e+01, EvalMSE=8.583801e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 500: TrainLoss=3.458272e+01, EvalMSE=7.865808e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.146735e+01, EvalMSE=7.272664e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.917146e+01, EvalMSE=6.758944e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.700368e+01, EvalMSE=6.326084e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.461661e+01, EvalMSE=5.975766e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.174072e+01, EvalMSE=5.648267e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.913331e+01, EvalMSE=5.231607e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.689003e+01, EvalMSE=4.947864e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.488119e+01, EvalMSE=4.711905e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.315617e+01, EvalMSE=4.554580e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.164417e+01, EvalMSE=4.443648e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.036346e+01, EvalMSE=4.302907e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=9.304414e+00, EvalMSE=4.192654e-04 (h1=2, h_n=0.201008, lr=0.005, loss=mse)
