Epoch 0: TrainLoss=3.382601e+01, EvalMSE=1.206395e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.209975e+01, EvalMSE=2.055056e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.947079e+01, EvalMSE=2.864007e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.676201e+01, EvalMSE=3.019613e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.429462e+01, EvalMSE=2.305998e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.165791e+01, EvalMSE=1.490107e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 600: TrainLoss=9.096909e+00, EvalMSE=1.046400e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 700: TrainLoss=7.524140e+00, EvalMSE=1.472308e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.587879e+00, EvalMSE=2.351092e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 900: TrainLoss=5.908106e+00, EvalMSE=2.862978e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.321648e+00, EvalMSE=2.609616e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.860427e+00, EvalMSE=2.267243e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.357949e+00, EvalMSE=1.899105e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.954674e+00, EvalMSE=1.171159e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.579884e+00, EvalMSE=8.263849e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.277928e+00, EvalMSE=7.602020e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.009432e+00, EvalMSE=7.278681e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.772573e+00, EvalMSE=7.140409e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.591138e+00, EvalMSE=7.068784e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.427832e+00, EvalMSE=6.704537e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.279759e+00, EvalMSE=6.536567e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.156047e+00, EvalMSE=6.117109e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.045051e+00, EvalMSE=5.749713e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.940686e+00, EvalMSE=5.353427e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.841674e+00, EvalMSE=4.984246e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.751441e+00, EvalMSE=4.703225e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.667625e+00, EvalMSE=4.406570e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.583360e+00, EvalMSE=4.036426e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.494551e+00, EvalMSE=3.804328e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.383664e+00, EvalMSE=4.374596e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.298906e+00, EvalMSE=4.893330e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.239817e+00, EvalMSE=5.187022e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.193632e+00, EvalMSE=5.315362e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.155737e+00, EvalMSE=5.351207e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.123760e+00, EvalMSE=5.359185e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 0: TrainLoss=3.627757e+01, EvalMSE=1.453596e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.686182e+01, EvalMSE=2.054775e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.301093e+01, EvalMSE=2.948190e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.930675e+01, EvalMSE=2.299767e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.572982e+01, EvalMSE=1.459807e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.207218e+01, EvalMSE=1.300581e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 600: TrainLoss=9.842320e+00, EvalMSE=2.423955e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 700: TrainLoss=8.407210e+00, EvalMSE=2.372471e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.375350e+00, EvalMSE=2.277798e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.386641e+00, EvalMSE=1.902853e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.669904e+00, EvalMSE=1.577872e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.890184e+00, EvalMSE=9.855818e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.316178e+00, EvalMSE=8.346465e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.852998e+00, EvalMSE=8.037755e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.470367e+00, EvalMSE=8.279286e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.151404e+00, EvalMSE=8.752626e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.886279e+00, EvalMSE=9.291524e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.666488e+00, EvalMSE=9.802403e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.482871e+00, EvalMSE=1.018361e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.327378e+00, EvalMSE=1.040678e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.193805e+00, EvalMSE=1.048339e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.077363e+00, EvalMSE=1.042278e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.974202e+00, EvalMSE=1.023207e-04 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.880567e+00, EvalMSE=9.918292e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.781028e+00, EvalMSE=9.323685e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.662941e+00, EvalMSE=7.863209e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.525408e+00, EvalMSE=6.092104e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.402716e+00, EvalMSE=4.477908e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.328412e+00, EvalMSE=3.810695e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.275699e+00, EvalMSE=3.431519e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.232842e+00, EvalMSE=3.247070e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.195392e+00, EvalMSE=3.108296e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.161967e+00, EvalMSE=2.977684e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.131913e+00, EvalMSE=2.851195e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.083933e+00, EvalMSE=2.468175e-05 (h1=7, h_n=0.313363, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.706717e+01, EvalMSE=1.266256e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.722632e+01, EvalMSE=2.559199e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.445566e+01, EvalMSE=2.813703e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.212832e+01, EvalMSE=2.539507e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.007666e+01, EvalMSE=2.038821e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.381980e+00, EvalMSE=1.047484e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.761811e+00, EvalMSE=1.169476e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.742164e+00, EvalMSE=1.627464e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=3.953931e+00, EvalMSE=1.611218e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=3.406076e+00, EvalMSE=1.385008e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
