Epoch 0: TrainLoss=2.443598e+01, EvalMSE=6.693071e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 100: TrainLoss=6.609560e+00, EvalMSE=7.473856e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.801179e+00, EvalMSE=7.343654e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.941007e+00, EvalMSE=6.663624e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.439558e+00, EvalMSE=6.130935e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.121421e+00, EvalMSE=5.632184e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 600: TrainLoss=9.112830e-01, EvalMSE=5.303390e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 700: TrainLoss=7.639021e-01, EvalMSE=5.073059e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 800: TrainLoss=5.573958e-01, EvalMSE=4.324308e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.441360e-01, EvalMSE=4.022452e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.679881e-01, EvalMSE=3.789407e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.146922e-01, EvalMSE=3.683545e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=2.752392e-01, EvalMSE=3.603238e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.426031e-01, EvalMSE=3.532482e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.075197e-01, EvalMSE=3.474158e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.793555e-01, EvalMSE=3.393229e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.538703e-01, EvalMSE=3.282935e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.311903e-01, EvalMSE=3.155413e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.102683e-01, EvalMSE=3.024506e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=9.127185e-02, EvalMSE=2.876827e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=7.581489e-02, EvalMSE=2.742757e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=6.346098e-02, EvalMSE=2.627456e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=5.366246e-02, EvalMSE=2.527486e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=4.591107e-02, EvalMSE=2.441162e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=3.975472e-02, EvalMSE=2.367156e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=3.482318e-02, EvalMSE=2.304246e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.082957e-02, EvalMSE=2.251317e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=2.755631e-02, EvalMSE=2.207351e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.483820e-02, EvalMSE=2.171339e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.255007e-02, EvalMSE=2.142215e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=2.059753e-02, EvalMSE=2.118863e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.890954e-02, EvalMSE=2.100182e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.743228e-02, EvalMSE=2.085173e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.612329e-02, EvalMSE=2.073006e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.494687e-02, EvalMSE=2.063076e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 0: TrainLoss=1.683745e+01, EvalMSE=6.791136e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 100: TrainLoss=5.523895e+00, EvalMSE=6.878215e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.481036e+00, EvalMSE=7.158435e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.519325e+00, EvalMSE=6.323885e-04 (h1=12, h_n=1.20605, lr=0.005, loss=mse)
